id,first_name,last_name,gender,Not 1,Not 2,Not 3
1,Denver,O'Cullinane,Male,24,40,56
2,Florette,Minillo,Female,80,21,14
3,Chan,Benne,Male,88,23,59
4,Justino,Mirfield,Male,84,37,54
5,Norma,Boulter,Female,2,50,6
6,Cora,Bohlsen,Female,35,94,88
7,Leora,Snewin,Bigender,38,22,89
8,Hube,Neagle,Male,68,71,84
9,Jonas,Pendrid,Male,94,52,11
10,Christyna,Edgin,Female,66,64,73
11,Waylon,Mulvy,Male,12,9,100
12,Avictor,Clemmen,Male,32,18,90
13,Xylina,Skuse,Genderqueer,93,8,24
14,Basile,Gibbett,Male,49,86,100
15,Witty,Ranald,Male,98,47,21
16,Joelynn,Bibbie,Female,42,9,5
17,Nevins,MacMychem,Male,80,72,49
18,Moss,Barrell,Male,86,79,33
19,Issi,Snowman,Female,93,40,3
20,Enid,Tickel,Female,51,97,8
21,Carney,Da Costa,Polygender,18,90,9
22,Padraig,Wogan,Genderqueer,100,51,34
23,Florencia,Boxell,Female,95,70,5
24,Carol,Churcher,Female,94,73,10
25,Kalil,Winridge,Male,97,76,47
26,Roberta,Trustey,Female,12,58,93
27,Andriana,Morilla,Female,73,19,60
28,Verla,Gower,Polygender,75,43,62
29,Gizela,O'Dowgaine,Female,70,44,33
30,Gerald,Shadbolt,Male,18,66,95
31,Koo,Lumox,Female,78,45,51
32,Juana,Crumpton,Agender,86,33,4
33,Fernanda,Graysmark,Female,96,67,69
34,Flo,Lindemann,Agender,18,82,15
35,Licha,Tomik,Female,61,36,97
36,Nilson,Roxby,Male,34,13,96
37,Kaitlyn,Carriage,Genderfluid,64,6,86
38,Marmaduke,Perott,Male,75,98,50
39,Pernell,Pilipyak,Male,93,51,69
40,Shawn,Spandley,Male,3,53,57
41,Cory,Philcock,Male,35,28,4
42,Alexina,Bulfield,Female,10,71,58
43,Lita,Verbeek,Female,98,2,91
44,Sibbie,Chrystie,Female,18,67,30
45,Malanie,Roma,Non-binary,15,68,97
46,Desirae,Wolfarth,Female,24,51,85
47,Amii,Comben,Non-binary,60,29,98
48,Nickie,Oganesian,Female,49,85,1
49,Humfrid,De Laci,Male,59,47,31
50,Valentino,Walthew,Male,13,31,12
51,Marcus,Edlyn,Male,1,21,63
52,Shaylah,Sutcliffe,Female,86,86,98
53,Jaimie,Mogridge,Female,95,19,25
54,Orly,Newarte,Female,57,81,39
